오이나물,서브,
배추쌈,서브,
무부추무침,서브,
연근샐러드,서브,
조기양념찜,메인,
잡채P608:잡채대,메인,
골뱅이오징어채무침M507:골뱅이오징어채무침대,메인,
파겉절이M604:파겉절이대,서브,
무나물M531:무생채대,서브,
양배추쌈M530:무부추무침대,서브,
고구마샐러드C505:과일샐러드대,서브,
야채튀김C513:연근샐러드대,서브,
오이무침M582:오이무침대,서브,
무생채M531:무생채대,서브,
양배추쌈M556:상추쌈대,서브,
감자조림M582:오이무침대,서브,
치킨너겟강정T643:치킨너겟강정대,메인,
시금치된장무침M525:모듬쌈대,서브,
감자샐러드C505:과일샐러드대,서브,
양배추쌈M525:모듬쌈대,서브,
오징어야채무침M586:오징어야채무침대,서브,
감자샐러드,서브,
감자조림M584:오이부추무침대,서브,
시금치무침M553:브로콜리/초고추장대,서브,
육고기비빔소스,메인,
두부샐러드드레싱,서브,
참치마요,밥,
베이컨김치볶음,메인,
전투식량즉각취식형1식단,예외,
식탁비치용양념,서브,
멸치깻잎조림,서브,
호박쇠고기볶음,메인,
순두부백탕,국,
두부된장찌개,국,
저염쌈장,서브,
쇠고기버섯덮밥,밥,
콩나물닭볶음,메인,
팽이버섯계란국,국,
생선묵맛살조림,메인,
하이라이스,밥,
감자국,국,
햄김치볶음,메인,
명태순살튀김,메인,
비엔나소시지케찹조림,메인,
새우살야채튀김,메인,
낙지야채볶음,메인,
한우갈비찜,메인,
돼지고기강정,메인,
해물매운탕,국,
기타양념,서브,
마늘쫑볶음,서브,
갑오징어숙회,메인,
김치볶음,서브,
쇠고기콩나물국,국,
콩나물찜,메인,
호박새우볶음,메인,
파불고기,메인,
마늘쫑새우볶음,메인,
명태조림,메인,
짬뽕밥,밥,
브로콜리계란찜,서,
고등어마늘튀김,메인,
해물탕,국,
우엉새송이버섯볶음,메인,
떡잡채,메인,
당면고추장찌개,국,
햄치즈버거J635:햄치즈버거대,버거,
상추쌈M556:상추쌈대,서브,
부추겉절이M548:부추겉절이대,서브,
불고기버거J530:불고기버거대,버거,
핫도그빵J638:핫도그빵대,버거,
만두튀김T548:만두튀김대,메인,
새우버거J636:새우버거대,버거,
자장면J558:자장면대,면,
깐풍새우,메인,
치즈볼스테이크,메인,
불닭덮밥,밥,
오징어채버터볶음,메인,
양파간장절임,서브,
햄야채덮밥,밥,
단무지,서브,
혼합시리얼,밥,
쇠고기버섯들깨탕,국,
패주삼겹살볶음,메인,
콩나물냉채,서브,
순두부짬뽕찌개,국,
밀쌀밥,밥,
미트볼매콤볶음,메인,
우거지꼬리곰탕,국,
아욱고추장찌개,국,
꼬꼬떡만둣국,국,
한우곰탕,국,
매콤새송이버섯볶음,메인,
주꾸미삼겹볶음,메인,
두부두반장조림,메인,
돈육굴소스양배추볶음,메인,
중화식잡채,메인,
햄치즈,밥,
김칫국,국,
대구탕,국,
얼갈이배추된장무침,서브,
오이풋고추&쌈장,서브,
꽁치김치,국,
미더덕된장찌개,국,
삼겹살고추장볶음,메인,
김치,김치,
깻잎쇠고기볶음,메인,
갈비맛치킨,메인,
쇠고기야채덮밥,밥,
고등어순살카레튀김,메인,
해물짬뽕찌개,국,
조갯살미역국,국,
가지굴소스쇠고기볶음,메인,
닭순살양배추볶음,메인,
오징어삼겹볶음,메인,
꽈리고추조림,서브,
오징어튀김칠리,메인,
훈제오리볶음,메인,
마늘종무침,서브,
마늘종새우볶음,메인,
닭튀김,메인,
새우살튀김칠리,메인,
미트볼데리야끼조림,메인,
마늘종볶음,서브,
비엔나소시지떡볶음,메인,
버섯,서브,
들깨무나물,서브,
햄김치,메인,
오이피클,서브,
생선묵김치,메인,
햄,메인,
테스트,예,
콩나물밥&달래양념장,밥,
갈릭새우살버터볶음,메인,
고추참치마파두부,메인,
참치야채비빔밥,메인,
생선묵,메인,
가지굴소스,서브,
팝콘치킨,메인,
육우갈비탕,국,
가지굴소스볶음,메인,
피조갯살야채볶음,메인,
얼큰떡만둣국,국,
낙지연포탕,국,
시래기된장국,국,
갑오징어가지굴소스볶음,메인,
바나나우유,예외,
초코우유,예외,
해물나시고랭,밥,
쇠고기곰탕,국,
해물소스비빔밥,밥,
양파핫도그,버거,
딸기우유,예외,
쇠고기시래기된장국,국,
갈리새우살버터볶음,메인,
소고기느타리버섯볶음,메인,
비엔나소시지볶음,메인,
오리훈제볶음,메인,
얼큰쇠고기무국,국,
버섯찌개,국,
고등어감자조림,메인,
부추계란순두부국,국,
된장찌개,국,
버섯불고기,메인,
오이김치,김치,
돼지고기깻잎볶음,메인,
돼지고기야채찌개,국,
북어채무국,국,
감자짜글이,국,
닭매운조림,메인,
오이맛고추된장무침,서브,
광어맑은탕,국,
매운소갈비미나리찜,메인,
두부조개국,국,
버섯깐풍기,메인,
삼치무조림,메인,
브로콜리초고추장,서브,
닭고기덮밥,밥,
근대된장무침,메인,
갑오징어볶음,메,
매운콩나물볶음,서,
꽈리고추양념무침,서,
명태순살간장무침,메,
꽈리고추무침,메,
조기순살튀김,메,
보리비빔밥,밥,
김치닭볶음탕,국,
얼갈이소고기된장국,국,
매운당면찌개,국,
낙지젓무침,메,
게맛살야채튀김,메,
배추들깨무침,서,
청경채무침,서,
쌀핫도그,메인,
얼갈이된장국,국,
오징어마늘쫑볶음,메,
양배추사과샐러드,서,
오징어콩나물찌개,국,
혼합시리얼/감자튀김,메,
꽃게해물찜,메인,
건새우마늘쫑조림,서,
도토리묵사발,서,
마늘쫑햄볶음밥,밥,
패주야채볶음,메,
팝콘형치킨/팝콘형치킨무침,메,
고추참치찌개,국,
소떡소떡,메인,
쭈삼볶음,메인,
바지락살미역국,국,
근대무침,서,
비엔나소세지볶음,메,
오이볶음,서,
도라지나물,서,
육고기소스밥,밥,
기름떡볶이,메,
전투식량,예외,
만두탕수/만두튀김,메,
어묵볶음,메,
우거지사골곰탕,국,
콩나물미나리무침,서,
민대구매운탕,국,
해물스파게티,면,
패주해물콩나물찜,메,
해물사천자장덮밥,밥,
찐만두,메,
키조개미역국,국,
매운양념치킨,메,
햄감자채볶음,서,
북어채떡국,국,
햄소세지찌개,국,
고구마조림,서,
만둣국,국,
명태순살튀김칠리소스,서,
북어채강정,메,
해물떡볶이,메,
콩나물잡채,메,
명태순살야채샐러드,메,
소세지야채볶음,메,
어묵야채볶음,메,
부추나물무침,서,
골뱅이볶음,메인,
왕갈비통닭,메인,
닭고기단호박조림,메인,
닭간장소스찜F512:닭간장소스찜대,메인,
도라지숙채,서,
참치김치볶음밥,밥,
김치떡볶이,메인,
굴맑은짬뽕,국,
버섯된장찌개Z529:버섯된장찌개대,국,
파채돈까스,메인,
대구고추장조림,메인,
돼지고기강정T542:돼지고기강정대,메인,
두부간장볶음,메,
얼갈이배추겉절이,서,
감자구이,서,
치즈,서브,
팽이버섯전,메인,
오징어김치전,메인,
미역초무침M506:골뱅이무침대,메인,
코다리조림,메인,
명태고추장조림,메인,
쇠고기미역국G614:사골곰탕대,국,
쇠고기무국G572:쇠고기미역국대,국,
두부새우볼강정,메인,
닭갈비P526:닭갈비대,메인,
오이미나리무침,서,
수수밥,밥,
마파감자,서,
상추치커리무침,서,
쇠고기새송이버섯볶음,메인,
감자쇠고기찌개,국,
매운버섯국,국,
콩나물삼색볶음,서,
김치버섯찌개,국,
돼지고기된장불고기,메,
김치오징어불고기,메,
고추참치야채볶음,메,
닭튀김마늘소스,메,
청양고추멸치볶음,서,
두부돼지고기덮밥,밥,
쇠고기당면국,국,
닭고기감자찌개,국,
미트볼양념조림,메,
치킨까스,메인,
참치비빔밥,밥,
해물찜,메,
두부참치두루치기,메인,
모둠쌈/쌈장,서,
달걀찜,메,
양파부추무침,서,
순두부김치찌개,국,
달걀국,국,
꼬리곰탕/다진양념,국,
쇠고기감자간장조림,메,
모둠채소/쌈장,서,
삶은달걀,서,
시리얼,밥,
팽이버섯된장국,국,
돼지고기감자볶음,메인,
감자달걀국,국,
쇠고기호박볶음,메인,
비엔나소시지케첩볶음,메인,
새우살달걀찜,메인,
새송이버섯채소볶음,메인,
밀밥,밥,
양파햄달걀찜,메인,
피망쇠고기볶음,메인,
꽁치찜,메인,
갑오징어채소볶음,메인,
가공우유,예외,
소시지게맛살볶음,메인,
삼겹살볶음,메인,
양배추쌈/쌈장,서브,
무밥,밥,
순살삼치구이,메인,
두부구이,메인,
전어순살튀김,메인,
무콩나물무침,서브,
양배추샐러드,서브,
골뱅이야채조림,메인,
비엔나소시지볶음&케첩,메인,
채소샐러드,서브,
미트볼튀김/소스,메인,
매운오징어무볶음,메인,
부추무침,서브,
감자두부국,국,
햄감자찌개,국,
닭살브로콜리볶음,메인,
명태살튀김데리야끼소스,메인,
계란두부찜,서,
무조림,서브,
갈릭양념치킨,메인,
두부구이/양념장,메인,
오징어튀김/초간장,메인,
콩나물돼지고기볶음,메인,
오징어콩나물볶음,메인,
닭순살장조림,메인,
배춧국,국,
콩나물무초무침,서브,
게맛살달걀찜,메인,
고추참치김치덮밥,밥,
미더덕새우된장국,국,
달걀후라이,메인,
시금치돼지고기덮밥,밥,
고구마튀김/초간장,메인,
오징어실채볶음,메인,
배추나물,서브,
굴순두부찌개,국,
배추된장나물,서브,
바지락비빔밥,밥,
황태채구이,메인,
두부구이/양념장/양념장,메인,
북어떡만둣국,국,
양배추쌈/쌈장/쌈장,서브,
북어채달걀국,국,
대구맑은탕,국,
달걀말이,메인,
쇠고기쇠고기우엉조림,메인,
고구마튀김/초간장/초간장,메인,
굴달걀국,국,
미트볼튀김/소스/소스,메인,
시금치두부비빔밥,밥,
쇠고기우엉조림,메인,
저염멸치볶음,서브,
미역된장국,국,
강된장찌개G600:청국장대,국,
닭백숙G614:사골곰탕대,국,
무청시래기돼지갈비찜,메인,
피조갯살채소무침,메인,
전복채소볶음,메인,
