식품명,식품군명,1회제공량,내용량_단위,총내용량(g),총내용량(mL),에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g),나트륨(㎎),콜레스테롤(㎎)
액티비아 업 딸기,유가공품,210,g,210,-,99,5.7,0,19,17,105,0
뽀로로와친구들,유가공품,80,g,80,-,55,1,0,13,10,25,0
바이오 프로바이오틱 드링킹요거트 스트로베리,유가공품,100,g,250,-,80,3,2.1,12,11,65,10
떠먹는 비피더스 딸기,유가공품,83,g,83,-,65,2.7,0.7,12,12,60,5
액티비아 컵 딸기,유가공품,80,g,80,-,65,3,1.8,10,7,60,10
요플레 오리지널 슈퍼베리,유가공품,85,g,85,-,85,3,3,13,11,50,10
짜요짜요 딸기,유가공품,40,g,40,-,100,4,3,14,12,50,15
비요뜨크런치볼,유가공품,143,g,143,-,210,7,8,27,20,140,15
부산우유 비피더스 사과,유가공품,150,g,150,-,123,3,3,21,20,53,8
비피더스명장 복숭아,유가공품,140,g,140,-,65,2,0,14,12,115,5
액티비아 병 사과,유가공품,130,g,130,-,92,4,2.6,13,12,70,9
오렌지요구르트,유가공품,80,g,750,-,45,1.2,0,10,4.5,20,0
메치니코프 플레인,유가공품,140,g,140,-,115,5,4.5,17,8,70,17
바이오 프로바이오틱 드링킹요거트 블루베리,유가공품,100,g,250,-,80,3,2.1,12,10,65,10
요플레 바이오플레 청포도,유가공품,140,g,140,-,70,2,0,16,11,130,5
바이오 프로바이오틱 백도 요거트,유가공품,150,g,150,-,110,5,1.8,19,16,75,10
매일 요구르트 로어슈거,유가공품,80,g,280,-,35,1,0,8,5,25,0
서울우유 플레인요구르트 / 냉장,유가공품,80,g,1000,-,72,3,3.1,8,4,50,12
액티비아 병 플레인,유가공품,130,g,130,-,82,4,2.8,10,9,70,10
덴마크 요거밀 단호박,유가공품,150,g,150,-,205,5,10,24,23,80,40
야쿠르트 프리미엄 라이트,유가공품,100,g,100,-,45,1,0,11,8,25,0
연세대학교 오메가3,유가공품,150,g,150,-,170,5,4,28,18,90,15
떠먹는 비피더스 복숭아,유가공품,83,g,83,-,65,2.9,0.7,12,12,60,5
비타플러스,유가공품,100,g,100,-,60,1,0,15,9,25,0
요러브딸기요거트,유가공품,85,g,340,-,85,3,2.6,12,12,45,7
덴마크 요거밀 자색고구마,유가공품,150,g,150,-,205,5,10,24,23,80,40
후디스 그릭요거트 무설탕 저지방,유가공품,80,g,80,-,65,4.8,1.6,7.6,7.6,88,8
떠먹는 비피더스 블루베리,유가공품,83,g,83,-,70,2.8,0.7,13,12,60,5
이오 트웬티즈,유가공품,135,g,135,-,60,1.5,0,14,13.5,27,0
비피더스 드링킹요구르트 블루베리,유가공품,100,g,900,-,45,1.5,0.4,9,6,40,5
