돈육굴소스볶음,돼지고기볶음,
닭순살카레볶음,닭볶음,
쇠고기국밥,소고기국밥,
크림떡볶이,떡볶이,
패주미역국,미역국,
만두강정,바삭군만두,
비엔나소시어묵볶음,어묵볶음,
꽁치튀김고추장소스,꽁치구이,
해물잡채,잡채,
새우두부칠리소스조림,새우깡,
뿌리채소맛탕,고구마맛탕,
자장떡볶이,떡볶이,
토마토/크림스파게티,스파게티,
오징어데리야끼덮밥,오징어덮밥,
고추참치통조림찌개,김치찌개 참치,
감자미역국,미역국,
닭순살우엉조림,닭조림,
연근채소잡채,잡채,
패주전복버섯볶음,양송이버섯볶음,
"전투식량2형,S형",,////
닭고기우엉덮밥,닭고기덮밥,
연근닭순살조림,닭조림,
민대구탕,대구매운탕,
우엉채소튀김&유자소스,채소튀김,
명태무찌개,대구매운탕,
단호박튀김,채소튀김,
육고기소스비빔밥,비빔밥,
모듬야채&저염쌈장,쌈장,
코다리순살강정,코다리조림,
청경채쇠고기두반장볶음,쇠고기볶음,
쑥갓상추무침,상추겉절이,
참깨쌀건빵,건빵,
홍합갑오징어버터볶음,오징어볶음,
로제스파게티,스파게티,
비엔나소시지감자조림,비엔나소시지,
사과오이무침,오이부추부침,
광어순살튀김,고등어튀김,
얼큰북어채국,"북어국, 인스턴트, 말린것",
돼지고기부추덮밥,돼지고기덮밥,
감자맛탕,고구마맛탕,
햄슬라이스야채볶음,돼지고기볶음,
감자호박국,감자탕,
맛살피망볶음,게맛살,
쑥갓두부무침,쑥갓나물무침,
오이달래무침,오이부추무침,
모듬피클,수제피클,
궁중닭찜,닭찜,
크림수프,크림스프,
김치왕뚜껑,팔도 김치왕뚜껑,
게맛살계란찜,달걀찜,
달래된장국,쑥된장국,
사골떡왕만둣국,떡만두국,
과일음료,과일채소 음료,
맑은오징어볶음,오징어무침,
큰컵까르보불닭볶음면,불닭볶음면,
과일,하루야채과일,
굴패주해산물야채볶음,고래밥볶음,
갑오징어야채무침,오징어무침,
과일샐러드,과일샐러드,
베이컨감자피망볶음,베이컨,
우유,우유,
굴미역국,홍합미역국,
치즈불닭,닭갈비,
우육탕큰사발,육개장 큰사발면,
오징어잡채,어묵잡채,
"2,313.30",,///////////////////////////////////////
참깨라면,오뚜기 참깨라면,
굴국,굴무국,
쇠고기,쇠고기무국,
무청시래기국,시래기된장국,
용기라면,신라면 큰사발,
단호박찜,"호박, 단호박, 찐것",
치킨떡볶이,텐더떡볶이,
코다리양념찜,코다리조림,
볶음진짬뽕,오뚜기 볶음진짬뽕,
시래기감자탕,감자탕,
"요구르트,떠먹는형",떠먹는 불가리스 플레인,
리얼치즈라면,오뚜기 리얼치즈라면,
낙지불고기,낙지볶음,
사리곰탕큰사발,사리곰탕 큰사발면,
갑오징어튀김,"오징어, 갑오징어, 생것",
쭈꾸미떡볶음,오징어덮밥,
세척사과,"사과, 아오리, 껍질 포함, 생것",
홍시,"감, 연시, 생것",
단호박톳밥,단호박죽,
용기면,신라면 큰사발,
사골곰탕,사골곰탕,
냉동바지락살무침,"바지락젓, 염절임",
참치야채전,참치 김치볶음,
커피음료,레쓰비마일드,
새우튀김케첩볶음,새우튀김,
버섯잡채밥,잡채밥,
떡갈비구이,떡갈비,
"2,700.65",,/////////////////////////
달걀참치전,참치완자전,
휘시차우더수프,어죽,
무청시래기비빔밥,비빔밥,
쇠고기우거지국,우거지해장국,
무청시래기볶음,시래기나물,
열무비빔밥,열무비빔면,
콩나물해물밥,콩나물밥,
돼지고기케첩볶음,돼지고기볶음,
무청시래기생선조림,고등어조림,
닭백숙,닭곰탕,
쭈꾸미야채볶음,낙지쭈꾸미볶음밥,
양파무침,양파부추무침,
새우순살짬뽕찌개,짬뽕,
해물볶음우동,볶음우동,
밥,쌀밥 한 공기,
진짬뽕,진짬뽕,
마늘불고기,오삼불고기,
숙성김치,포기김치,
견과류초코바,에너지바,
"진라면매운맛",진라면(매운맛),
"새우탕큰사발",새우탕 큰사발,
과일음료수,딸기 생과일주스,
짜장떡볶이,궁중떡볶이,
갑오징어해물찌개,오징어짬뽕,
감자밥,채소볶음밥,
반건조고구마,"고구마, 말린것",
파닭,치킨텐더,
우엉잡채,잡채,
검은콩두유,오곡두유,
꽁치무조림,꽁치조림,
카레떡볶이,떡볶이,
"2,653.06",,///////////////////
임시3,,//////////////
"2,644.36",,///////////////////////
배추쌈,"배추, 봄 재배, 생것",
무부추무침,부추무침,
연근샐러드,연근조림,
조기양념찜,조기조림,
잡채P608:잡채대,잡채,
골뱅이오징어채무침,골뱅이무침,
"3,051.99",,/////////////////////
무나물,무생채,
고구마샐러드,단호박+고구마샐러드,
"2,648.72",,/////////////////////
야채튀김,채소튀김,
오이무침,오이소박이,
감자조림,감자조림,
치킨너겟강정,치킨너겟,
시금치된장무침,시금치나물,
"2,990.31",,//////////////////
감자샐러드,단호박+고구마샐러드,
양배추쌈M525:모듬쌈대,상추겉절이,
오징어야채무침M586:오징어야채무침대,오징어무침,
브로콜리/초고추장,브로콜리볶음,
육고기비빔소스,약고추장,
두부샐러드드레싱,연두부,
참치마요,참치마요삼각김밥,
베이컨김치볶음,돼지고기김치볶음,
전투식량즉각취식형1식단,,//////////////////
식탁비치용양념,대흥 조미간장,
멸치깻잎조림,깻잎장아찌,
호박쇠고기볶음,쇠고기볶음,
순두부백탕,순두부달걀탕,
저염쌈장,짠맛을 줄인 건강한 양념쌈장,
쇠고기버섯덮밥,쇠고기볶음밥,
콩나물닭볶음,닭볶음탕,
팽이버섯계란국,달걀국,
생선묵맛살조림,어묵볶음,
감자국,맑은감자국,
햄김치볶음,돼지고기김치볶음,
명태순살튀김,부산어묵,
비엔나소시지케찹조림,비엔나소시지,
새우살야채튀김,새우튀김,
아이스크림바,죠스바,
낙지야채볶음,낙지볶음,
한우갈비찜,소갈비찜,
돼지고기강정,돼지고기볶음,
기타양념,진간장S,
갑오징어숙회,문어숙회,
쇠고기콩나물국,콩나물국,
콩나물찜,콩나물무침,
호박새우볶음,새우볶음,
파불고기,불고기,
마늘쫑새우볶음,건새우볶음,
명태조림,동태조림,
브로콜리계란찜,달걀찜,
고등어마늘튀김,고등어튀김,
우엉새송이버섯볶음,느타리버섯볶음,
떡잡채,궁중떡볶이,
냉동슈,베이비슈,
깐풍새우,새우볶음,
치즈볼스테이크,고메함박스테이크,
불닭덮밥,불닭철판볶음밥,
오징어채버터볶음,오징어채볶음,
양파간장절임,양파장아찌,
햄야채덮밥,비비고 햄야채볶음밥,
혼합시리얼,"시리얼, 현미",
거봉포도,"포도, 거봉, 생것",
쇠고기버섯들깨탕,피코크 진한 소고기들깨탕,
패주삼겹살볶음,묵은지삼겹살볶음,
콩나물냉채,콩나물무침,
순두부짬뽕찌개,순두부찌개,
밀쌀밥,쌀밥 한 공기,
미트볼매콤볶음,미트볼조림,
우거지꼬리곰탕,꼬리곰탕,
아욱고추장찌개,두부쇠고기고추장찌개,
꼬꼬떡만둣국,떡만둣국,
한우곰탕,곰탕,
매콤새송이버섯볶음,새송이버섯볶음,
주꾸미삼겹볶음,돼지고기볶음,
두부두반장조림,마파두부,
돈육굴소스양배추볶음,돼지고기 볶음,
중화식잡채,볶음우동,
햄치즈,치즈버거,
대구탕,북엇국,
얼갈이배추된장무침,배추겉절이,
오이풋고추&쌈장,"고추, 오이고추, 생것",
꽁치김치,참치 김치볶음,
미더덕된장찌개,된장찌개,
삼겹살고추장볶음,삼겹살고추장구이,
김치,포기김치,
깻잎쇠고기볶음,쇠고기채소볶음,
갈비맛치킨,간장 치킨(R),
쇠고기야채덮밥,쇠고기채소볶음,
고등어순살카레튀김,고등어튀김,
해물짬뽕찌개,삼선짬뽕,
조갯살미역국,바지락조개국,
가지굴소스쇠고기볶음,쇠고기채소볶음,
닭순살양배추볶음,닭갈비,
오징어삼겹볶음,오삼불고기,
꽈리고추조림,꽈리고추멸치볶음,
오징어튀김칠리,오징어튀김,
훈제오리볶음,오리불고기,
마늘종무침,마늘쫑무침,
마늘종새우볶음,멸치마늘쫑볶음,
새우살튀김칠리,새우튀김,
미트볼데리야끼조림,미트볼조림,
마늘종볶음,마늘쫑무침,
비엔나소시지떡볶음,비엔나소시지,
버섯,느타리버섯볶음,
들깨무나물,무나물,
햄김치,돼지고기김치볶음,
오이피클,바른생피클 L,
생선묵김치,어묵볶음,
테스트,,//////
콩나물밥&달래양념장,콩나물밥,
갈릭새우살버터볶음,새우볶음,
고추참치마파두부,마파두부,
참치야채비빔밥,참치볶음밥,
생선묵,어묵볶음,
가지굴소스,가지나물,
육우갈비탕,갈비탕,
가지굴소스볶음,가지나물,
피조갯살야채볶음,피조개무침,
얼큰떡만둣국,떡만둣국,
낙지연포탕,연포탕,
갑오징어가지굴소스볶음,오징어볶음,
해물나시고랭,나시고랭,
쇠고기곰탕,비비고 사골곰탕,
해물소스비빔밥,비빔밥,
양파핫도그,콘 어니언 핫도그,
쇠고기시래기된장국,시래기된장국,
갈리새우살버터볶음,새우볶음,
소고기느타리버섯볶음,쇠고기버섯볶음,
비엔나소시지볶음,비엔나소시지,
오리훈제볶음,마늘숙성오리훈제,
얼큰쇠고기무국,소고기무국,
아이스팩,설레임 밀크,
고등어감자조림,고등어조림,
부추계란순두부국,달걀국,
버섯불고기,불고기,
돼지고기깻잎볶음,돼지고기채소볶음,
돼지고기야채찌개,돼지고기김치찌개,
북어채무국,북엇국,
참외,"참외, 씨 포함, 생것",
감자짜글이,감자조림,
닭매운조림,닭볶음,
오이맛고추된장무침,오이부추무침,
광어맑은탕,광어매운탕,
매운소갈비미나리찜,소갈비찜,
두부조개국,바지락조개국,
버섯깐풍기,버섯구이,
삼치무조림,삼치조림,
브로콜리초고추장,"브로콜리, 생것",
근대된장무침,"근대, 데친것",
토핑요거트,요거트,
갑오징어볶음,오징어볶음,
매운콩나물볶음,콩나물무침,
초코바,에너지바,
꽈리고추양념무침,꽈리고추멸치볶음,
명태순살간장무침,고등어조림,
꽈리고추무침,"고추, 꽈리고추, 생것",
조기순살튀김,조기구이,
우유에타먹는분말,제티,
보리비빔밥,비빔밥,
김치닭볶음탕,닭볶음탕,
얼갈이소고기된장국,무시래기된장국,
매운당면찌개,부대찌개,
낙지젓무침,낙지무침,
게맛살야채튀김,게맛살,
배추들깨무침,파래무침,
아이스컵,아이스크림,
청경채무침,"청경채, 데친것",
쌀핫도그,못난이찹쌀핫도그,
얼갈이된장국,무된장국,
오징어마늘쫑볶음,오징어볶음,
양배추사과샐러드,양배추샐러드,
오징어콩나물찌개,오징어찌개,
혼합시리얼/감자튀김,유기농 든든한 아침 고소한 시리얼,
꽃게해물찜,"게, 꽃게, 찐것",
건새우마늘쫑조림,"새우, 꽃새우, 장조림",
도토리묵사발,도토리묵,
